# Red Alert MIX Filename Database
# Sources: OpenRA, ccmixar, RA95.EXE strings
# Total entries: 4839
# Format: HASH<tab>FILENAME
#
0x92591784	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/BEHIND-THE-VEIL.ORAMAP MATCHES
0x9140289e	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/BLITZ.ORAMAP MATCHES
0x13856705	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/BOMBARDMENT-ISLANDS.ORAMAP MATCHES
0xfe504389	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/CHAOS-CANYON.ORAMAP MATCHES
0x58b050ce	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/CLIMAX-REV15.ORAMAP MATCHES
0x9f1573b4	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/COLLABORATION.ORAMAP MATCHES
0x3f109a82	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/COUNTERCROSS.ORAMAP MATCHES
0x57228733	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/CROSSFIRE.ORAMAP MATCHES
0x18208773	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/DISCOVERY.ORAMAP MATCHES
0x00d2c430	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/DOUBLES.ORAMAP MATCHES
0x7a3cffd6	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/DOUBLESTEP.ORAMAP MATCHES
0x0fad6c45	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/DOUGHNUT.ORAMAP MATCHES
0x9b389bab	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/DUAL-COLD-FRONT.ORAMAP MATCHES
0x226b0072	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/DUSTTOWN-BATTLE.ORAMAP MATCHES
0x5793f2a4	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/ENSIO-KAIVO.ORAMAP MATCHES
0x04bc5067	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/EUROPE.ORAMAP MATCHES
0x18b375b7	BINARY FILE /USERS/JASSON/WORKSPACE/CNC_RED_ALERT/OPENRA/MODS/RA/MAPS/FORGOTTEN-PLAINS.ORAMAP MATCHES
